"","Participant","Age","Gender","Ethnicity","Familiar Yes/No","RFamiliar explain","Trait","Identity","ImageID","Rating","Identity Mean","Variance"
"141",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH001",5,3.55,1.45
"142",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH002",3,3.55,0.55
"143",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH003",4,3.55,0.45
"144",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH004",3,3.55,0.55
"145",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH005",3,3.55,0.55
"146",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH006",5,3.55,1.45
"147",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH007",4,3.55,0.45
"148",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH008",3,3.55,0.55
"149",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH009",4,3.55,0.45
"150",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH010",5,3.55,1.45
"151",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH011",1,3.55,2.55
"152",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH012",4,3.55,0.45
"153",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH013",4,3.55,0.45
"154",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH014",3,3.55,0.55
"155",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH015",4,3.55,0.45
"156",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH016",3,3.55,0.55
"157",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH017",5,3.55,1.45
"158",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH018",2,3.55,1.55
"159",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH019",1,3.55,2.55
"160",1,23,"Female","Australian","No","NA","Trustworthiness","FH","FH020",5,3.55,1.45
"161",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI001",3,3.55,0.55
"162",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI002",1,3.55,2.55
"163",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI003",3,3.55,0.55
"164",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI004",4,3.55,0.45
"165",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI005",7,3.55,3.45
"166",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI006",3,3.55,0.55
"167",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI007",4,3.55,0.45
"168",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI008",4,3.55,0.45
"169",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI009",3,3.55,0.55
"170",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI010",4,3.55,0.45
"171",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI011",2,3.55,1.55
"172",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI012",4,3.55,0.45
"173",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI013",3,3.55,0.55
"174",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI014",5,3.55,1.45
"175",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI015",4,3.55,0.45
"176",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI016",3,3.55,0.55
"177",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI017",4,3.55,0.45
"178",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI018",4,3.55,0.45
"179",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI019",3,3.55,0.55
"180",1,23,"Female","Australian","No","NA","Trustworthiness","FI","FI020",3,3.55,0.55
"181",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA001",4,5.05,1.05
"182",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA002",6,5.05,0.95
"183",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA003",4,5.05,1.05
"184",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA004",6,5.05,0.95
"185",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA005",6,5.05,0.95
"186",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA006",6,5.05,0.95
"187",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA007",6,5.05,0.95
"188",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA008",5,5.05,0.0499999999999998
"189",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA009",4,5.05,1.05
"190",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA010",5,5.05,0.0499999999999998
"191",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA011",4,5.05,1.05
"192",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA012",6,5.05,0.95
"193",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA013",6,5.05,0.95
"194",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA014",6,5.05,0.95
"195",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA015",6,5.05,0.95
"196",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA016",3,5.05,2.05
"197",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA017",4,5.05,1.05
"198",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA018",5,5.05,0.0499999999999998
"199",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA019",3,5.05,2.05
"200",1,23,"Female","Australian","No","NA","Trustworthiness","MA","MA020",6,5.05,0.95
"201",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB001",5,4.05,0.95
"202",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB002",4,4.05,0.0499999999999998
"203",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB003",4,4.05,0.0499999999999998
"204",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB004",5,4.05,0.95
"205",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB005",4,4.05,0.0499999999999998
"206",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB006",4,4.05,0.0499999999999998
"207",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB007",5,4.05,0.95
"208",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB008",3,4.05,1.05
"209",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB009",3,4.05,1.05
"210",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB010",4,4.05,0.0499999999999998
"211",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB011",4,4.05,0.0499999999999998
"212",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB012",4,4.05,0.0499999999999998
"213",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB013",3,4.05,1.05
"214",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB014",4,4.05,0.0499999999999998
"215",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB015",4,4.05,0.0499999999999998
"216",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB016",3,4.05,1.05
"217",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB017",4,4.05,0.0499999999999998
"218",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB018",5,4.05,0.95
"219",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB019",5,4.05,0.95
"220",1,23,"Female","Australian","No","NA","Trustworthiness","MB","MB020",4,4.05,0.0499999999999998
"221",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC001",5,5.35,0.35
"222",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC002",5,5.35,0.35
"223",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC003",6,5.35,0.65
"224",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC004",7,5.35,1.65
"225",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC005",6,5.35,0.65
"226",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC006",5,5.35,0.35
"227",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC007",5,5.35,0.35
"228",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC008",5,5.35,0.35
"229",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC009",6,5.35,0.65
"230",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC010",5,5.35,0.35
"231",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC011",6,5.35,0.65
"232",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC012",4,5.35,1.35
"233",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC013",7,5.35,1.65
"234",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC014",4,5.35,1.35
"235",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC015",7,5.35,1.65
"236",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC016",3,5.35,2.35
"237",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC017",7,5.35,1.65
"238",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC018",3,5.35,2.35
"239",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC019",4,5.35,1.35
"240",1,23,"Female","Australian","No","NA","Trustworthiness","MC","MC020",7,5.35,1.65
"241",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD001",4,4.6,0.6
"242",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD002",7,4.6,2.4
"243",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD003",3,4.6,1.6
"244",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD004",5,4.6,0.4
"245",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD005",4,4.6,0.6
"246",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD006",6,4.6,1.4
"247",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD007",5,4.6,0.4
"248",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD008",4,4.6,0.6
"249",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD009",4,4.6,0.6
"250",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD010",5,4.6,0.4
"251",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD011",6,4.6,1.4
"252",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD012",4,4.6,0.6
"253",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD013",4,4.6,0.6
"254",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD014",5,4.6,0.4
"255",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD015",5,4.6,0.4
"256",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD016",3,4.6,1.6
"257",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD017",6,4.6,1.4
"258",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD018",4,4.6,0.6
"259",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD019",6,4.6,1.4
"260",1,23,"Female","Australian","No","NA","Trustworthiness","MD","MD020",2,4.6,2.6
"261",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME001",6,5.9,0.0999999999999996
"262",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME002",7,5.9,1.1
"263",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME003",6,5.9,0.0999999999999996
"264",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME004",6,5.9,0.0999999999999996
"265",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME005",6,5.9,0.0999999999999996
"266",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME006",7,5.9,1.1
"267",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME007",6,5.9,0.0999999999999996
